id,x,y,r,b
0,1154.5180412371135,42.95876288659794,11,69.1701030927835
1,2078.219696969697,73.54924242424242,10,139.52651515151516
2,1571.8125,82.60526315789474,10,60.19407894736842
3,803.3696763202726,138.4480408858603,13,64.14480408858603
4,25.154929577464788,229.81220657276995,10,56.713615023474176
5,1261.3558897243108,270.5263157894737,11,67.28571428571428
6,487.90506329113924,272.30379746835445,10,65.20253164556962
7,996.7294685990338,453.21014492753625,11,70.16666666666666
8,891.9849246231156,554.6549413735344,15,63.04857621440536
9,1171.056074766355,571.9953271028037,11,70.27803738317756
10,1572.1929307805597,630.1752577319587,20,122.01914580265095
11,1671.6666666666667,665.5688073394496,10,79.92354740061162
12,1131.1608832807572,684.8422712933753,10,66.57097791798107
13,1210.841975308642,807.9333333333333,11,71.20246913580247
14,1266.1472602739725,912.8926940639269,17,68.28652968036529
15,1433.9714285714285,984.1828571428572,10,74.45714285714286
16,299.6879150066401,1064.6932270916334,15,60.24701195219123
17,1380.0252100840337,1108.7268907563025,12,61.319327731092436
18,752.9531531531532,1166.0648648648648,13,63.38018018018018
19,1757.2139303482586,1193.3457711442786,11,67.32089552238806
20,800.6525,1236.73,11,75.25750000000001
